Depmap ID,Expression Public 24Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000024,4.8011586560936985,OPM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000025,5.430619810959776,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000026,0.8073549220576041,253JBV,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000027,6.620293149948603,GOS3,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000028,1.1505596765753812,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000029,5.494415610397496,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000030,3.604071323668861,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000031,5.170726276131552,PANC0213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000032,2.5084286525318573,MHHCALL3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000033,3.680324356844016,NCIH1819,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000034,4.393004256898322,PLB985,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000035,5.325170512376046,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000036,5.816087658600206,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000037,1.5753123306874368,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS"
ACH-000038,2.077242998932461,EHEB,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000039,4.953265239014844,SKNMC,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000040,1.8914191868460783,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000041,4.894817763307944,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000042,4.953730849811491,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000043,5.662490363913776,HS895T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000044,1.74416109557041,MDAMB134VI,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000045,6.269407240854037,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000046,0.4646682670034443,ACHN,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000048,0.2509615735332187,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000049,4.819157223674968,HEKTE,Non-Cancerous,Kidney,Non-Cancerous
ACH-000050,2.871843648509318,NCIH929,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000051,0.925999418556223,TE617T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000052,5.498570012544255,A673,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000053,7.725127635320609,KARPAS299,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000054,5.548744859937229,HT1080,Fibrosarcoma,Soft Tissue,Fibrosarcoma
ACH-000055,2.671293372481576,D283MED,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000056,0.3103401206121505,DOHH2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000057,4.04176864995163,OPM1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000058,5.9941271140031285,ML1,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000059,4.529196267999391,SUPB15,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000060,6.323910438019789,PANC1005,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000061,5.7438919109365685,HH,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000062,4.569855608330948,RERFLCMS,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000063,7.088735246190284,HS616T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000064,4.514122260170708,SALE,Non-Cancerous,Lung,Non-Cancerous
ACH-000065,8.38543103719352,OCIAML5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000066,6.2193621578077165,HCC4006,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000067,4.099295204337775,HS683,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000068,0.2750070474998697,REC1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000069,1.7570232465074596,HS611T,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000070,2.693765712217783,697,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000071,6.667040559022988,HS706T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000072,5.694323060125386,MEG01,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000073,1.510961919277379,GRANTA519,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000074,6.020368851063204,KU812,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000075,0.7824085649273732,U87MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000076,6.938285791884053,NCO2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000077,5.436628267292844,MJ,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000078,0.1890338243900171,MHHNB11,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000079,6.675533686225485,TE125T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000080,3.211012193485512,BDCM,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000081,7.425425734590699,GDM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000082,2.1795110502715103,G292CLONEA141B1,Osteosarcoma,Bone,Osteosarcoma
ACH-000083,6.424250286084049,HS281T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000084,5.773205156985566,MUTZ3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000085,4.035623909730721,T3M4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000086,3.895302621333306,ACCMESO1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000087,4.788163657037767,SKES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000088,5.351204277257994,HS172T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000089,3.114367024952,NCIH684,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000090,2.811471030529836,PC3,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000091,3.526068811667588,OV56,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,5.761019265240484,NCIH2452,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000093,4.4409521980296365,PANC0504,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000094,5.251340382788616,HPAFII,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000095,0.3334237337251918,D341Med,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000096,4.372255648445787,G401,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000097,3.1210154009613658,ZR751,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000098,2.324810603420484,GAMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000099,1.2203299548795556,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000100,3.584962500721156,RH41,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000101,4.458119481174506,KE37,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000102,5.859224161978204,GMS10,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000103,4.974988111991927,CAOV4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000104,6.99491908871511,LOUCY,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000105,6.017699252693033,ALLSIL,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000106,2.485426827170241,JVM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000107,5.429281193335658,CAPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,4.412781525338476,KP3,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000109,6.20006486151431,NCIH3255,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000110,3.3757345385831563,NCCSTCK140,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000111,2.403267722339301,HCC1187,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000112,6.690975738343275,SIGM5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000113,7.69752363881355,OCIAML2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000114,4.9429835981871015,SU8686,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000115,1.263034405833794,VCAP,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000116,4.119356177039675,OAW28,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000117,3.5160151470036647,EFM192A,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000118,4.760753208062987,HUPT3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000119,6.488322191140821,HS863T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000120,2.541019153133559,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000121,5.328405658958567,NCIH2405,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000122,5.624100894628114,SUPT11,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000123,0.3219280948873623,COV434,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000124,4.708739041359579,OCILY19,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000125,6.943218087426284,TO175T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000126,5.428946344769483,KG1C,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000127,6.525129251203973,SLR20,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000128,2.881664619320345,LN319,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000129,5.1626934322112366,NCIH1341,SMARCA4-deficient undifferentiated tumor,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000130,3.795974694206668,NALM19,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000131,5.759954742011304,HS229T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000132,3.6403895600549454,JHOS2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000133,5.9593064897596575,HS729,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000134,7.465484779018499,HS274T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000135,6.934398552434979,HS940T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000136,0.2141248053528473,CHP126,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000137,5.05006629830629,8MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000138,5.074248523347032,CFPAC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000139,5.053111336459563,PANC0327,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000140,0.0976107966264223,PFEIFFER,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000141,5.720825666089835,SNU308,Intracholecystic Papillary Neoplasm,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-000142,2.704871964456353,CAL29,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000143,0.3103401206121505,HCC2429,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000144,1.144046369616707,RERFGC1B,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000145,6.114991613333596,SKLMS1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000146,7.988287038854139,THP1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000147,1.1699250014423124,T47D,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000148,4.537296067090842,HS578T,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000149,5.511910748670928,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000150,5.801676029253588,HCC2935,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000151,2.4776773275653072,JM1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000152,5.195347598322219,M059K,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000153,4.526694845541976,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000154,6.074462620704536,HS888T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000155,4.500164679492167,SW1990,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000156,2.8094144442358986,MHHCALL4,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000157,7.442694733878824,A4FUK,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000158,0.137503523749935,OCILY3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000159,4.96116025813664,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000160,0.1890338243900171,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000161,0.7484612330040357,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000162,0.1505596765753814,GA10,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000163,5.314333993919012,SW579,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000164,3.3088850574117634,PANC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000165,6.6534900091719935,HS751T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000166,7.086826217702072,KASUMI6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000167,3.576522137920503,KE97,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000168,6.843230150496545,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000169,5.272769732436511,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000170,5.212958362728285,PRECLH,Non-Cancerous,Prostate,Non-Cancerous
ACH-000171,3.2265085298086795,VMRCRCZ,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000172,0.8875252707415875,TM87,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer
ACH-000173,5.394719912994065,JHUEM3,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000174,3.1795110502715103,CAL62,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000175,6.978767651036788,TE159T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000176,4.866907978143166,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000177,5.377470842849648,NCIH660,Prostate Small Cell Carcinoma,Prostate,Prostate Small Cell Carcinoma
ACH-000178,7.807548127205881,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000179,4.1026581313637385,NCIH1618,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000180,6.683556107495676,HS839T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000181,3.472487771462744,SCC9,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000182,5.356495987705577,SNU869,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000183,3.3978029618624896,L363,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000184,5.135042286233651,HS343T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000185,6.723968049636323,HS737T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000186,3.793895882548878,NCIH2444,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000187,0.9927684307689242,CORL311,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000188,4.583759753639499,SCC25,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000189,2.2839217723076173,RCC10RGB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000190,4.553974808237472,HDMYZ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000191,6.59051219998164,BHT101,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000192,2.37851162325373,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000193,5.268284666520996,KARPAS620,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000194,6.619559737782492,HS934T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000195,6.24412594328373,SET2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000196,2.521050736900963,HCC1599,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000197,5.743084055549586,TALL1,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000198,6.939579214314693,EOL1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000199,6.554742321710322,HS255T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000200,5.03342300153745,NMCG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000201,1.8875252707415875,A204,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000202,4.1945598860226125,COLO320,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000203,1.3504972470841332,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000204,5.131754090984813,LP1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000205,5.2720231890610485,PK59,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000206,0.2387868595871165,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000207,3.8972404255748,DETROIT562,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000208,6.125775067609515,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000209,0.7570232465074596,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,6.264911693074464,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000211,3.8747969658986654,DAOY,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000212,2.130930869826449,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000213,2.5921580021253603,HUPT4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000214,6.9121708029499525,HS675T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000215,5.606442228131607,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000216,3.662205499653616,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000217,5.202025844609336,JHH6,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000218,7.377123749129487,PL21,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000219,4.739308070860385,A375,Melanoma,Skin,Melanoma
ACH-000220,1.992768430768924,MINO,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000221,0.1634987322828795,SNU398,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000222,6.358255586705128,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000223,6.006073567261894,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000224,6.670585440262214,HS819T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000225,0.765534746362977,ECC12,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000226,7.066627409095199,SUPM2,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000227,0.2986583155645151,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000228,5.705977901682522,BICR31,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000229,7.084702108011991,HS822T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000230,4.5496691707264905,HS742T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000231,5.748461233004035,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000232,5.19021976366016,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000233,7.824704218401829,DEL,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000234,4.196134880765161,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000235,3.2265085298086795,PANC0403,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000236,4.40735275114004,SW1417,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000237,5.312156888313374,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000238,3.922197848396367,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000239,3.541019153133559,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000240,6.774259951432764,HS600T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000241,5.43095427138573,JK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000242,4.401903471607959,RT4,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000243,5.538227739736,DANG,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000244,5.269033146455237,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000245,0.1505596765753814,BL41,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000247,0.4854268271702416,OCUM1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000248,2.821710215034674,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000249,4.400537929583729,CL11,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000250,4.139142019145689,KMRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000251,4.679198570566922,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000252,3.888499735514123,LS1034,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000253,3.726831217032493,COLO201,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000254,4.844988156682612,SCC15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
